station_id,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0-203-0-11301161001,21.0,18.0,23.0,25.0,24.0,26.0,26.0,25.0,24.0,19.0,24.0,24.0,16.0,22.0,25.0,24.0,24.0,25.0,23.0,23.0,25.0,22.0,20.0,24.0,23.0,17.0,23.0,17.0,20.0,19.0,23.0,24.0,24.0,24.0,17.0,18.0,23.0,24.0,24.0,25.0,25.0,25.0,25.0,24.0,25.0,26.0,26.0,23.0,23.0,22.0,20.0,20.0,20.0,18.0,22.0,24.0,23.0,23.0,23.0
0-203-0-11302052001,14.0,26.0,22.0,23.0,24.0,25.0,24.0,24.0,22.0,16.0,25.0,18.0,26.0,20.0,24.0,21.0,23.0,24.0,23.0,25.0,25.0,24.0,23.0,25.0,24.0,19.0,24.0,17.0,22.0,17.0,24.0,24.0,16.0,19.0,14.0,8.0,16.0,18.0,24.0,21.0,26.0,23.0,26.0,26.0,25.0,24.0,22.0,25.0,23.0,25.0,24.0,23.0,23.0,26.0,18.0,21.0,22.0,23.0,22.0
0-203-0-11303060001,16.0,18.0,24.0,20.0,23.0,17.0,20.0,24.0,24.0,23.0,21.0,19.0,21.0,23.0,25.0,24.0,21.0,22.0,21.0,21.0,25.0,24.0,22.0,24.0,21.0,21.0,23.0,9.0,8.0,16.0,16.0,,11.0,9.0,12.0,17.0,22.0,19.0,22.0,21.0,13.0,20.0,20.0,22.0,25.0,23.0,21.0,25.0,25.0,23.0,24.0,25.0,20.0,25.0,22.0,19.0,21.0,26.0,23.0
0-203-0-11303115902,17.0,18.0,18.0,8.0,18.0,18.0,20.0,17.0,24.0,24.0,17.0,17.0,15.0,18.0,18.0,21.0,25.0,18.0,20.0,23.0,21.0,24.0,25.0,24.0,25.0,23.0,20.0,6.0,2.0,18.0,11.0,6.0,11.0,10.0,14.0,12.0,19.0,18.0,23.0,20.0,7.0,21.0,20.0,25.0,24.0,24.0,19.0,22.0,22.0,23.0,25.0,23.0,20.0,21.0,23.0,21.0,21.0,25.0,23.0
0-203-0-11401004201,10.0,19.0,20.0,13.0,23.0,23.0,23.0,24.0,22.0,12.0,19.0,8.0,15.0,21.0,23.0,23.0,19.0,24.0,24.0,21.0,25.0,21.0,19.0,24.0,19.0,22.0,24.0,18.0,16.0,25.0,13.0,16.0,3.0,21.0,15.0,16.0,20.0,24.0,24.0,24.0,9.0,21.0,24.0,25.0,25.0,26.0,25.0,22.0,22.0,25.0,24.0,20.0,23.0,22.0,24.0,23.0,22.0,23.0,20.0
0-203-0-11401043001,11.0,21.0,20.0,25.0,23.0,15.0,5.0,24.0,23.0,23.0,20.0,21.0,23.0,24.0,22.0,23.0,25.0,20.0,24.0,23.0,19.0,24.0,22.0,23.0,24.0,20.0,21.0,15.0,7.0,12.0,13.0,,16.0,13.0,14.0,17.0,19.0,21.0,22.0,19.0,13.0,23.0,23.0,25.0,25.0,22.0,21.0,24.0,24.0,24.0,25.0,21.0,22.0,26.0,22.0,26.0,21.0,25.0,23.0
0-203-0-11401056001,22.0,24.0,25.0,24.0,23.0,25.0,21.0,23.0,25.0,23.0,24.0,25.0,22.0,21.0,23.0,22.0,18.0,24.0,18.0,21.0,24.0,17.0,20.0,21.0,20.0,18.0,19.0,3.0,9.0,21.0,16.0,8.0,22.0,15.0,12.0,22.0,20.0,23.0,24.0,21.0,17.0,22.0,17.0,22.0,26.0,25.0,19.0,25.0,24.0,25.0,25.0,24.0,21.0,24.0,24.0,25.0,19.0,25.0,
0-203-0-11401097301,19.0,10.0,12.0,14.0,25.0,22.0,19.0,25.0,26.0,17.0,22.0,23.0,22.0,20.0,22.0,22.0,19.0,23.0,19.0,22.0,24.0,21.0,19.0,22.0,22.0,20.0,19.0,11.0,14.0,21.0,12.0,10.0,19.0,17.0,10.0,15.0,24.0,22.0,26.0,18.0,13.0,24.0,25.0,23.0,24.0,20.0,19.0,22.0,23.0,25.0,24.0,22.0,21.0,24.0,23.0,21.0,19.0,23.0,23.0
0-203-0-11402030001,22.0,22.0,19.0,23.0,23.0,24.0,21.0,21.0,24.0,20.0,23.0,18.0,25.0,22.0,20.0,23.0,24.0,21.0,19.0,23.0,23.0,23.0,22.0,22.0,23.0,19.0,19.0,6.0,6.0,5.0,16.0,4.0,20.0,18.0,15.0,21.0,23.0,25.0,23.0,17.0,4.0,18.0,25.0,25.0,25.0,24.0,19.0,25.0,23.0,23.0,23.0,21.0,20.0,26.0,20.0,22.0,21.0,24.0,23.0
0-203-0-11403005001,10.0,13.0,10.0,4.0,18.0,18.0,18.0,19.0,24.0,17.0,23.0,17.0,21.0,11.0,25.0,24.0,6.0,24.0,23.0,24.0,24.0,22.0,19.0,22.0,22.0,21.0,22.0,17.0,16.0,16.0,22.0,12.0,20.0,14.0,12.0,20.0,21.0,22.0,25.0,22.0,20.0,21.0,24.0,24.0,24.0,25.0,19.0,23.0,25.0,23.0,24.0,20.0,24.0,23.0,24.0,23.0,21.0,23.0,23.0
0-203-0-11403025001,21.0,24.0,25.0,25.0,22.0,24.0,23.0,23.0,23.0,22.0,26.0,23.0,23.0,21.0,25.0,20.0,24.0,21.0,22.0,24.0,23.0,25.0,21.0,23.0,19.0,21.0,19.0,10.0,8.0,14.0,11.0,3.0,13.0,12.0,13.0,17.0,21.0,23.0,25.0,20.0,21.0,23.0,25.0,25.0,25.0,26.0,22.0,25.0,21.0,25.0,24.0,26.0,23.0,24.0,22.0,22.0,22.0,26.0,25.0
0-203-0-11403041001,2.0,17.0,13.0,5.0,21.0,17.0,14.0,11.0,17.0,11.0,11.0,12.0,9.0,21.0,24.0,19.0,23.0,24.0,22.0,26.0,25.0,25.0,17.0,23.0,21.0,17.0,20.0,13.0,10.0,19.0,13.0,12.0,20.0,18.0,15.0,14.0,21.0,22.0,23.0,22.0,20.0,23.0,23.0,24.0,23.0,23.0,21.0,24.0,25.0,24.0,24.0,24.0,22.0,24.0,24.0,24.0,20.0,22.0,22.0
0-203-0-11405014001,19.0,23.0,25.0,24.0,24.0,25.0,23.0,22.0,23.0,23.0,25.0,23.0,22.0,19.0,23.0,18.0,16.0,24.0,23.0,25.0,24.0,23.0,19.0,22.0,21.0,20.0,24.0,12.0,9.0,20.0,12.0,12.0,18.0,20.0,19.0,16.0,20.0,24.0,22.0,25.0,20.0,23.0,25.0,23.0,24.0,26.0,26.0,25.0,23.0,23.0,22.0,21.0,21.0,15.0,22.0,22.0,20.0,25.0,23.0
0-203-0-11428,24.0,22.0,22.0,23.0,25.0,22.0,18.0,20.0,24.0,20.0,22.0,19.0,20.0,20.0,20.0,21.0,23.0,19.0,21.0,22.0,22.0,23.0,21.0,22.0,20.0,23.0,25.0,21.0,6.0,12.0,9.0,,10.0,7.0,,12.0,13.0,22.0,20.0,11.0,26.0,22.0,20.0,22.0,24.0,25.0,20.0,24.0,24.0,23.0,24.0,21.0,25.0,26.0,26.0,23.0,23.0,23.0,24.0
0-203-0-11455,23.0,22.0,22.0,25.0,22.0,23.0,21.0,24.0,25.0,22.0,25.0,17.0,22.0,24.0,20.0,18.0,22.0,15.0,19.0,21.0,20.0,22.0,21.0,20.0,22.0,19.0,23.0,7.0,8.0,15.0,13.0,11.0,12.0,5.0,16.0,22.0,25.0,21.0,25.0,17.0,26.0,23.0,23.0,25.0,25.0,25.0,22.0,26.0,23.0,24.0,21.0,21.0,23.0,25.0,24.0,23.0,21.0,23.0,25.0
0-203-0-11483,21.0,20.0,19.0,24.0,23.0,24.0,24.0,24.0,25.0,22.0,25.0,24.0,24.0,19.0,23.0,22.0,23.0,23.0,21.0,20.0,26.0,21.0,22.0,24.0,22.0,23.0,22.0,16.0,21.0,18.0,22.0,21.0,24.0,19.0,25.0,24.0,22.0,19.0,21.0,24.0,26.0,18.0,23.0,24.0,25.0,24.0,20.0,24.0,22.0,24.0,24.0,19.0,23.0,24.0,25.0,18.0,19.0,21.0,22.0
0-203-0-11497,18.0,15.0,19.0,23.0,22.0,25.0,17.0,24.0,25.0,21.0,26.0,22.0,26.0,21.0,19.0,20.0,21.0,20.0,20.0,22.0,22.0,22.0,20.0,21.0,21.0,21.0,23.0,21.0,21.0,19.0,18.0,21.0,21.0,17.0,23.0,23.0,22.0,18.0,24.0,21.0,26.0,21.0,22.0,24.0,23.0,21.0,20.0,25.0,24.0,25.0,22.0,21.0,23.0,26.0,24.0,25.0,25.0,25.0,24.0
0-203-0-11501049001,17.0,21.0,20.0,23.0,23.0,26.0,18.0,23.0,24.0,21.0,26.0,23.0,22.0,24.0,23.0,25.0,22.0,24.0,22.0,24.0,25.0,23.0,20.0,24.0,24.0,21.0,21.0,15.0,13.0,21.0,21.0,8.0,17.0,20.0,16.0,18.0,21.0,18.0,25.0,21.0,21.0,23.0,25.0,23.0,24.0,22.0,24.0,25.0,24.0,25.0,23.0,20.0,24.0,25.0,24.0,22.0,22.0,23.0,23.0
0-203-0-11502020001,9.0,18.0,23.0,13.0,19.0,20.0,19.0,24.0,20.0,12.0,13.0,3.0,8.0,19.0,24.0,23.0,21.0,21.0,21.0,23.0,23.0,21.0,18.0,22.0,19.0,22.0,23.0,16.0,15.0,18.0,14.0,12.0,21.0,16.0,15.0,20.0,19.0,17.0,23.0,24.0,11.0,16.0,23.0,25.0,24.0,24.0,25.0,23.0,22.0,22.0,23.0,19.0,22.0,22.0,19.0,17.0,21.0,22.0,16.0
0-203-0-11542,24.0,24.0,24.0,23.0,23.0,23.0,23.0,24.0,25.0,22.0,23.0,21.0,23.0,25.0,25.0,23.0,24.0,22.0,23.0,25.0,23.0,23.0,23.0,24.0,24.0,24.0,22.0,23.0,25.0,19.0,23.0,23.0,22.0,25.0,24.0,23.0,24.0,24.0,24.0,24.0,26.0,24.0,24.0,22.0,25.0,23.0,17.0,26.0,25.0,25.0,20.0,21.0,22.0,23.0,24.0,22.0,23.0,26.0,26.0
0-203-0-11549,14.0,23.0,22.0,21.0,22.0,21.0,22.0,24.0,25.0,24.0,24.0,22.0,22.0,26.0,24.0,25.0,25.0,26.0,23.0,22.0,20.0,22.0,23.0,25.0,24.0,20.0,21.0,23.0,21.0,22.0,22.0,19.0,24.0,20.0,21.0,24.0,23.0,17.0,24.0,25.0,24.0,19.0,18.0,23.0,24.0,21.0,20.0,22.0,20.0,24.0,20.0,17.0,23.0,22.0,20.0,20.0,20.0,22.0,24.0
0-203-0-11557,19.0,24.0,24.0,21.0,14.0,20.0,14.0,23.0,24.0,21.0,16.0,15.0,20.0,21.0,21.0,19.0,19.0,21.0,21.0,22.0,20.0,24.0,20.0,24.0,21.0,21.0,19.0,6.0,7.0,8.0,11.0,4.0,19.0,18.0,10.0,17.0,21.0,20.0,24.0,23.0,20.0,25.0,24.0,24.0,23.0,24.0,18.0,24.0,23.0,25.0,22.0,25.0,24.0,21.0,24.0,24.0,19.0,23.0,25.0
0-203-0-11578,23.0,22.0,19.0,22.0,22.0,25.0,16.0,21.0,23.0,23.0,25.0,16.0,22.0,20.0,20.0,11.0,25.0,22.0,19.0,20.0,24.0,22.0,22.0,26.0,22.0,19.0,22.0,16.0,6.0,11.0,16.0,8.0,10.0,7.0,11.0,23.0,20.0,16.0,22.0,20.0,26.0,23.0,19.0,23.0,22.0,19.0,16.0,24.0,23.0,23.0,22.0,18.0,19.0,23.0,22.0,21.0,21.0,22.0,23.0
0-203-0-11583,20.0,24.0,21.0,24.0,24.0,23.0,21.0,24.0,22.0,22.0,26.0,25.0,21.0,9.0,17.0,24.0,24.0,26.0,5.0,21.0,24.0,20.0,17.0,21.0,19.0,21.0,22.0,14.0,16.0,19.0,20.0,15.0,17.0,18.0,21.0,23.0,16.0,21.0,21.0,23.0,24.0,19.0,18.0,24.0,21.0,21.0,20.0,20.0,18.0,22.0,19.0,19.0,21.0,20.0,23.0,21.0,21.0,23.0,18.0
0-203-0-11602,22.0,4.0,11.0,15.0,5.0,7.0,4.0,15.0,20.0,25.0,11.0,17.0,20.0,21.0,16.0,26.0,20.0,20.0,22.0,22.0,24.0,21.0,22.0,17.0,20.0,21.0,20.0,21.0,20.0,25.0,18.0,6.0,17.0,21.0,19.0,19.0,23.0,23.0,25.0,25.0,15.0,21.0,24.0,21.0,25.0,23.0,25.0,19.0,25.0,22.0,21.0,25.0,22.0,21.0,24.0,24.0,22.0,22.0,25.0
0-203-0-11604,,10.0,25.0,25.0,20.0,17.0,19.0,11.0,17.0,11.0,9.0,12.0,20.0,22.0,23.0,22.0,24.0,22.0,26.0,24.0,25.0,22.0,23.0,24.0,24.0,18.0,20.0,15.0,8.0,22.0,14.0,18.0,25.0,24.0,24.0,23.0,22.0,23.0,23.0,24.0,26.0,25.0,24.0,25.0,25.0,24.0,25.0,24.0,25.0,23.0,22.0,20.0,24.0,25.0,23.0,19.0,25.0,24.0,23.0
0-203-0-11644,25.0,19.0,23.0,23.0,14.0,20.0,8.0,19.0,19.0,23.0,17.0,23.0,25.0,16.0,19.0,24.0,26.0,23.0,23.0,22.0,25.0,24.0,22.0,18.0,22.0,21.0,22.0,26.0,25.0,25.0,25.0,17.0,25.0,26.0,19.0,26.0,23.0,24.0,25.0,23.0,23.0,26.0,25.0,26.0,26.0,24.0,25.0,24.0,23.0,20.0,21.0,26.0,23.0,22.0,22.0,24.0,24.0,26.0,25.0
0-203-0-11685,18.0,17.0,17.0,20.0,13.0,13.0,21.0,8.0,6.0,15.0,20.0,21.0,23.0,18.0,20.0,15.0,22.0,23.0,22.0,23.0,24.0,24.0,18.0,21.0,20.0,21.0,18.0,20.0,17.0,20.0,20.0,16.0,11.0,11.0,15.0,20.0,22.0,22.0,21.0,25.0,19.0,20.0,22.0,23.0,20.0,22.0,20.0,22.0,21.0,23.0,21.0,17.0,19.0,21.0,18.0,19.0,21.0,21.0,19.0
0-203-0-11691,18.0,18.0,24.0,22.0,20.0,19.0,15.0,20.0,19.0,20.0,25.0,21.0,21.0,20.0,,11.0,25.0,23.0,23.0,26.0,25.0,24.0,24.0,24.0,21.0,24.0,23.0,18.0,20.0,21.0,16.0,8.0,3.0,6.0,11.0,20.0,21.0,19.0,22.0,23.0,21.0,20.0,21.0,24.0,20.0,22.0,9.0,26.0,22.0,22.0,23.0,18.0,20.0,24.0,23.0,23.0,22.0,24.0,22.0
0-203-0-11701,14.0,17.0,,,,19.0,18.0,25.0,21.0,17.0,18.0,17.0,23.0,22.0,25.0,24.0,25.0,22.0,24.0,25.0,25.0,23.0,24.0,23.0,22.0,21.0,22.0,22.0,19.0,,19.0,20.0,24.0,17.0,22.0,21.0,18.0,19.0,24.0,23.0,21.0,23.0,16.0,20.0,25.0,24.0,19.0,25.0,21.0,25.0,21.0,18.0,23.0,24.0,22.0,23.0,19.0,23.0,23.0
0-203-0-11705,16.0,12.0,13.0,17.0,16.0,24.0,17.0,13.0,14.0,21.0,20.0,16.0,21.0,25.0,23.0,26.0,21.0,25.0,25.0,26.0,22.0,25.0,25.0,5.0,21.0,25.0,24.0,12.0,11.0,17.0,11.0,9.0,11.0,15.0,21.0,23.0,18.0,23.0,24.0,23.0,25.0,20.0,25.0,23.0,19.0,24.0,18.0,23.0,23.0,25.0,21.0,18.0,24.0,23.0,25.0,23.0,23.0,24.0,20.0
0-203-0-11726,22.0,19.0,12.0,7.0,18.0,8.0,21.0,22.0,24.0,16.0,18.0,20.0,18.0,20.0,20.0,24.0,25.0,19.0,24.0,25.0,25.0,24.0,24.0,25.0,25.0,26.0,26.0,21.0,21.0,24.0,11.0,12.0,10.0,9.0,8.0,21.0,22.0,22.0,23.0,22.0,26.0,19.0,22.0,24.0,21.0,25.0,18.0,9.0,23.0,24.0,20.0,21.0,24.0,25.0,23.0,21.0,25.0,25.0,26.0
0-203-0-11748,18.0,24.0,20.0,22.0,21.0,21.0,21.0,22.0,25.0,21.0,19.0,25.0,18.0,21.0,17.0,24.0,25.0,20.0,23.0,21.0,21.0,25.0,25.0,24.0,24.0,25.0,15.0,22.0,21.0,21.0,24.0,23.0,20.0,23.0,22.0,23.0,25.0,22.0,21.0,20.0,26.0,23.0,25.0,23.0,22.0,24.0,19.0,26.0,25.0,26.0,19.0,16.0,23.0,25.0,22.0,23.0,24.0,,
0-203-0-11762,17.0,12.0,19.0,23.0,10.0,13.0,13.0,8.0,12.0,19.0,15.0,6.0,22.0,22.0,23.0,20.0,25.0,21.0,24.0,21.0,24.0,23.0,25.0,23.0,24.0,23.0,23.0,9.0,,11.0,10.0,14.0,23.0,13.0,19.0,23.0,18.0,19.0,23.0,24.0,21.0,19.0,22.0,21.0,19.0,26.0,22.0,24.0,20.0,25.0,19.0,17.0,21.0,22.0,22.0,19.0,22.0,26.0,22.0
0-203-0-11765,20.0,21.0,22.0,21.0,17.0,23.0,19.0,24.0,24.0,23.0,23.0,21.0,22.0,25.0,24.0,22.0,24.0,24.0,23.0,23.0,24.0,24.0,23.0,25.0,26.0,26.0,23.0,25.0,25.0,20.0,11.0,11.0,15.0,17.0,23.0,22.0,15.0,21.0,20.0,22.0,19.0,24.0,21.0,25.0,21.0,21.0,20.0,24.0,21.0,24.0,23.0,21.0,25.0,24.0,25.0,22.0,25.0,23.0,22.0
0-203-0-11781,26.0,23.0,20.0,24.0,24.0,15.0,24.0,23.0,25.0,19.0,21.0,23.0,23.0,21.0,26.0,24.0,24.0,24.0,21.0,23.0,24.0,23.0,23.0,24.0,25.0,24.0,23.0,26.0,22.0,19.0,24.0,23.0,15.0,20.0,21.0,21.0,17.0,23.0,26.0,22.0,25.0,21.0,23.0,24.0,25.0,25.0,24.0,24.0,25.0,26.0,21.0,22.0,26.0,26.0,24.0,22.0,25.0,24.0,23.0
0-203-0-11785,11.0,15.0,15.0,13.0,14.0,14.0,15.0,4.0,,10.0,7.0,12.0,16.0,20.0,19.0,19.0,24.0,24.0,24.0,24.0,24.0,22.0,22.0,25.0,22.0,22.0,25.0,17.0,8.0,18.0,11.0,9.0,11.0,10.0,20.0,22.0,17.0,22.0,21.0,25.0,20.0,20.0,17.0,20.0,23.0,21.0,24.0,23.0,24.0,25.0,20.0,22.0,22.0,22.0,20.0,18.0,24.0,23.0,21.0
0-203-0-11789,22.0,26.0,19.0,22.0,18.0,15.0,14.0,7.0,8.0,22.0,17.0,15.0,17.0,22.0,23.0,24.0,25.0,26.0,25.0,25.0,26.0,24.0,24.0,25.0,23.0,25.0,23.0,18.0,13.0,25.0,13.0,13.0,20.0,22.0,25.0,23.0,21.0,23.0,26.0,23.0,21.0,24.0,25.0,25.0,26.0,26.0,24.0,24.0,25.0,25.0,21.0,25.0,26.0,24.0,24.0,23.0,24.0,24.0,24.0
0-203-0-11790,,13.0,18.0,23.0,22.0,21.0,18.0,24.0,20.0,23.0,19.0,16.0,21.0,18.0,23.0,17.0,23.0,18.0,19.0,23.0,21.0,20.0,21.0,24.0,21.0,21.0,22.0,20.0,20.0,18.0,21.0,21.0,17.0,15.0,23.0,24.0,18.0,22.0,24.0,22.0,25.0,21.0,23.0,24.0,23.0,22.0,19.0,24.0,25.0,25.0,20.0,20.0,18.0,24.0,22.0,21.0,23.0,25.0,23.0
0-203-0-11792,1.0,9.0,13.0,9.0,13.0,22.0,22.0,16.0,8.0,20.0,19.0,18.0,23.0,24.0,21.0,23.0,25.0,21.0,25.0,25.0,24.0,23.0,23.0,25.0,23.0,24.0,23.0,16.0,13.0,23.0,19.0,17.0,12.0,21.0,25.0,24.0,14.0,17.0,17.0,23.0,22.0,24.0,22.0,25.0,26.0,21.0,25.0,21.0,23.0,26.0,20.0,21.0,23.0,23.0,24.0,17.0,23.0,25.0,20.0
0-203-0-11793,23.0,20.0,22.0,21.0,23.0,19.0,16.0,15.0,20.0,20.0,23.0,19.0,22.0,22.0,22.0,23.0,24.0,22.0,23.0,19.0,22.0,19.0,21.0,18.0,22.0,19.0,21.0,20.0,14.0,21.0,20.0,17.0,20.0,22.0,21.0,19.0,20.0,19.0,19.0,24.0,19.0,21.0,21.0,23.0,18.0,24.0,25.0,22.0,21.0,22.0,22.0,23.0,23.0,20.0,20.0,20.0,21.0,1.0,
0-203-0-11794,24.0,26.0,23.0,22.0,22.0,15.0,25.0,24.0,23.0,22.0,25.0,19.0,24.0,23.0,26.0,25.0,25.0,26.0,24.0,23.0,25.0,24.0,24.0,24.0,26.0,25.0,23.0,21.0,24.0,23.0,24.0,19.0,19.0,23.0,20.0,24.0,18.0,23.0,22.0,24.0,14.0,20.0,21.0,21.0,20.0,22.0,20.0,19.0,20.0,21.0,17.0,20.0,23.0,21.0,23.0,18.0,20.0,25.0,21.0
0-203-0-20101025001,18.0,21.0,20.0,24.0,20.0,24.0,23.0,23.0,23.0,18.0,22.0,22.0,23.0,23.0,23.0,22.0,24.0,26.0,26.0,23.0,25.0,24.0,15.0,24.0,21.0,22.0,22.0,12.0,12.0,20.0,11.0,20.0,15.0,20.0,21.0,26.0,18.0,23.0,23.0,24.0,5.0,16.0,24.0,16.0,24.0,26.0,20.0,22.0,22.0,23.0,21.0,22.0,22.0,23.0,24.0,25.0,20.0,25.0,22.0
0-203-0-20101069001,19.0,19.0,15.0,21.0,21.0,18.0,17.0,24.0,22.0,20.0,16.0,20.0,16.0,25.0,25.0,24.0,23.0,20.0,23.0,25.0,25.0,23.0,25.0,24.0,22.0,23.0,25.0,16.0,12.0,17.0,2.0,,3.0,23.0,22.0,23.0,19.0,24.0,26.0,23.0,26.0,24.0,22.0,24.0,20.0,22.0,21.0,25.0,26.0,24.0,19.0,22.0,24.0,21.0,25.0,21.0,24.0,24.0,22.0
0-203-0-20101096001,20.0,21.0,21.0,23.0,22.0,24.0,26.0,24.0,24.0,24.0,25.0,23.0,23.0,24.0,23.0,23.0,25.0,20.0,25.0,23.0,25.0,25.0,23.0,23.0,23.0,26.0,24.0,18.0,8.0,15.0,12.0,10.0,17.0,22.0,20.0,23.0,22.0,25.0,26.0,23.0,26.0,25.0,25.0,23.0,22.0,25.0,24.0,24.0,23.0,26.0,23.0,24.0,25.0,26.0,24.0,25.0,25.0,24.0,24.0
0-203-0-20101117001,,19.0,13.0,9.0,20.0,,25.0,23.0,26.0,21.0,20.0,23.0,13.0,17.0,17.0,18.0,22.0,23.0,21.0,22.0,20.0,21.0,18.0,24.0,24.0,21.0,24.0,12.0,5.0,18.0,10.0,12.0,16.0,18.0,22.0,19.0,20.0,22.0,22.0,22.0,24.0,19.0,21.0,22.0,23.0,22.0,20.0,23.0,21.0,23.0,18.0,19.0,23.0,24.0,21.0,22.0,21.0,23.0,
0-203-0-20101139001,22.0,22.0,24.0,25.0,22.0,26.0,19.0,22.0,24.0,23.0,22.0,22.0,26.0,22.0,24.0,22.0,26.0,19.0,24.0,24.0,26.0,25.0,23.0,24.0,22.0,24.0,24.0,13.0,9.0,19.0,10.0,4.0,,10.0,20.0,15.0,15.0,16.0,16.0,19.0,25.0,19.0,15.0,14.0,16.0,23.0,22.0,24.0,22.0,23.0,18.0,21.0,23.0,22.0,22.0,21.0,25.0,26.0,22.0
0-203-0-20101147002,23.0,26.0,25.0,25.0,22.0,26.0,25.0,26.0,22.0,23.0,24.0,24.0,25.0,24.0,25.0,22.0,24.0,22.0,25.0,24.0,26.0,23.0,23.0,25.0,23.0,19.0,22.0,13.0,12.0,24.0,16.0,13.0,12.0,21.0,24.0,23.0,18.0,25.0,24.0,21.0,25.0,19.0,25.0,23.0,24.0,21.0,21.0,25.0,22.0,25.0,21.0,22.0,23.0,21.0,20.0,19.0,20.0,26.0,23.0
0-203-0-20101153101,25.0,21.0,21.0,23.0,22.0,21.0,24.0,24.0,23.0,23.0,21.0,20.0,22.0,21.0,22.0,22.0,24.0,18.0,23.0,23.0,25.0,21.0,23.0,24.0,23.0,20.0,25.0,17.0,5.0,19.0,14.0,12.0,16.0,24.0,23.0,24.0,20.0,23.0,24.0,20.0,26.0,21.0,22.0,22.0,25.0,22.0,20.0,24.0,22.0,23.0,19.0,20.0,23.0,23.0,22.0,21.0,24.0,25.0,23.0
0-203-0-20201004001,9.0,23.0,25.0,24.0,19.0,23.0,9.0,11.0,9.0,21.0,21.0,22.0,24.0,21.0,24.0,26.0,23.0,24.0,23.0,22.0,24.0,22.0,24.0,19.0,23.0,25.0,24.0,14.0,19.0,24.0,15.0,17.0,13.0,19.0,20.0,23.0,19.0,22.0,21.0,24.0,6.0,17.0,24.0,19.0,20.0,24.0,24.0,22.0,25.0,22.0,20.0,22.0,23.0,25.0,23.0,26.0,24.0,26.0,24.0
0-203-0-20201038001,15.0,17.0,23.0,14.0,8.0,18.0,16.0,21.0,17.0,24.0,24.0,,19.0,18.0,23.0,23.0,24.0,24.0,25.0,23.0,26.0,21.0,19.0,22.0,24.0,19.0,22.0,14.0,14.0,20.0,18.0,19.0,23.0,16.0,20.0,24.0,16.0,21.0,24.0,25.0,12.0,21.0,23.0,15.0,25.0,24.0,23.0,26.0,22.0,20.0,21.0,22.0,25.0,21.0,23.0,23.0,21.0,24.0,23.0
0-203-0-20201071001,14.0,20.0,16.0,14.0,16.0,19.0,20.0,24.0,19.0,16.0,18.0,21.0,18.0,18.0,22.0,20.0,25.0,25.0,23.0,21.0,24.0,25.0,24.0,25.0,21.0,22.0,22.0,12.0,12.0,24.0,15.0,15.0,7.0,11.0,23.0,23.0,17.0,20.0,23.0,21.0,9.0,6.0,16.0,16.0,23.0,25.0,22.0,23.0,21.0,25.0,22.0,21.0,21.0,22.0,24.0,21.0,22.0,26.0,23.0
0-203-0-20202005001,14.0,8.0,4.0,,13.0,20.0,23.0,,11.0,19.0,23.0,20.0,12.0,18.0,23.0,16.0,22.0,25.0,24.0,26.0,26.0,22.0,17.0,19.0,18.0,20.0,22.0,16.0,12.0,22.0,17.0,10.0,18.0,16.0,21.0,21.0,21.0,22.0,17.0,23.0,18.0,17.0,21.0,16.0,21.0,24.0,22.0,21.0,20.0,20.0,18.0,21.0,19.0,19.0,17.0,19.0,18.0,23.0,19.0
0-203-0-20202070001,18.0,26.0,22.0,25.0,21.0,25.0,21.0,20.0,17.0,21.0,17.0,20.0,22.0,18.0,20.0,21.0,25.0,16.0,23.0,22.0,23.0,19.0,18.0,23.0,22.0,18.0,18.0,14.0,16.0,16.0,9.0,15.0,15.0,21.0,23.0,23.0,14.0,24.0,23.0,24.0,5.0,11.0,23.0,16.0,21.0,23.0,23.0,22.0,25.0,23.0,22.0,23.0,22.0,24.0,25.0,22.0,25.0,22.0,24.0
0-203-0-20203023001,22.0,25.0,25.0,24.0,21.0,26.0,26.0,24.0,26.0,25.0,24.0,22.0,24.0,25.0,25.0,22.0,25.0,25.0,26.0,24.0,26.0,25.0,22.0,25.0,23.0,20.0,22.0,7.0,12.0,15.0,11.0,8.0,7.0,15.0,23.0,22.0,15.0,22.0,25.0,21.0,,10.0,21.0,20.0,23.0,22.0,20.0,24.0,22.0,25.0,21.0,21.0,21.0,23.0,23.0,20.0,20.0,24.0,21.0
0-203-0-20301001001,23.0,23.0,21.0,16.0,,1.0,17.0,19.0,18.0,20.0,19.0,24.0,23.0,24.0,24.0,25.0,24.0,25.0,23.0,24.0,25.0,24.0,24.0,25.0,23.0,25.0,26.0,18.0,16.0,23.0,17.0,23.0,21.0,24.0,21.0,24.0,21.0,25.0,25.0,25.0,24.0,21.0,22.0,23.0,24.0,23.0,23.0,23.0,25.0,25.0,24.0,,,21.0,24.0,23.0,21.0,25.0,22.0
